nganh_nghe,nghe_nghiep,MBTI,MBTI_code,Holland_code,Big5_O,Big5_C,Big5_E,Big5_A,Big5_N,DISC_type,DISC_code,Toan,Ly,Hoa,Sinh,Van,Anh,Tin,Dia,Su
Công nghệ thông tin,Lập trình viên,ISTJ/INTJ/INTP,ISTJ,IRC,80,82,30,39,19,Conscientiousness,C,8.5,7.0,6.5,5.0,5.5,7.0,9.5,6.0,5.0
Công nghệ thông tin,Lập trình viên,ISTJ/INTJ/INTP,ISTJ,IRC,81,85,24,45,13,Conscientiousness,C,8.0,6.5,6.0,5.5,5.0,7.5,9.0,5.5,4.5
Công nghệ thông tin,Lập trình viên,ISTJ/INTJ/INTP,ISTJ,IRC,77,84,28,39,28,Conscientiousness,C,7.5,7.2,6.8,5.2,6.0,6.8,9.2,5.8,5.2
Công nghệ thông tin,Lập trình viên,ISTJ/INTJ/INTP,INTJ,IRC,82,83,30,34,31,Conscientiousness,C,8.2,7.5,7.0,5.8,4.8,8.0,9.8,5.0,4.5
Công nghệ thông tin,Lập trình viên,ISTJ/INTJ/INTP,INTJ,IRC,90,77,22,40,27,Conscientiousness,C,9.0,7.8,6.5,5.5,4.0,8.5,9.5,5.2,4.8
Công nghệ thông tin,Lập trình viên,ISTJ/INTJ/INTP,INTJ,IRC,90,81,23,37,20,Conscientiousness,C,8.8,7.4,7.2,5.0,5.2,8.2,9.7,5.4,4.6
Công nghệ thông tin,Lập trình viên,ISTJ/INTJ/INTP,INTP,IRC,89,84,15,33,33,Conscientiousness,C,8.7,7.6,6.9,5.3,5.8,7.9,9.6,5.6,4.9
Công nghệ thông tin,Lập trình viên,ISTJ/INTJ/INTP,INTP,IRC,95,73,26,25,34,Conscientiousness,C,9.2,7.0,6.2,4.8,4.5,8.7,9.9,4.5,4.2
Công nghệ thông tin,Lập trình viên,ISTJ/INTJ/INTP,INTP,IRC,89,81,23,28,24,Conscientiousness,C,8.6,7.3,6.7,5.1,5.4,7.8,9.4,5.5,4.7
Công nghệ thông tin,Lập trình viên,ISTJ,ISTJ,IRC,82,86,28,42,18,Conscientiousness,C,8.9,7.9,7.1,5.6,5.0,8.3,9.8,5.3,4.9
Công nghệ thông tin,Lập trình viên,INTJ,INTJ,IRC,88,79,25,36,26,Conscientiousness,C,8.4,7.7,6.8,5.4,4.9,8.1,9.5,5.1,4.4
